model,dataset,prompt_type,llm_mean,llm_median,llm_std,llm_consensus_rate,st_mean,st_median,st_std,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,combined_score
Gemini,Dataset_Encryption_Description,Description_Detailed,0.5906,0.6499999999999999,0.3077363156990088,0.676,0.3849583772309125,0.37095676362514496,0.17033238207427628,0.28,0.46,0.208,0.252,0.4877791886154562
Gemini,Dataset_With_Comments_Description,Description_Simple,0.7186,0.8,0.2352531402553428,0.82,0.5625604504942894,0.5672616064548492,0.147745818739825,0.668,0.616,0.552,0.064,0.6405802252471446
Gemini,Dataset_With_Comments_Description,Description_Fewshot,0.6938,0.75,0.2485790819839835,0.796,0.5705160357356072,0.5853769481182098,0.14354028664368798,0.692,0.696,0.592,0.104,0.6321580178678036
Gemini,Dataset_With_Comments_Description,Description_Reason,0.687,0.75,0.2444606307772276,0.784,0.5410661121606827,0.5550388991832733,0.13762894013733348,0.64,0.664,0.544,0.12,0.6140330560803413
Gemini,Dataset_Without_Comments_Description,Description_Fewshot,0.7248,0.8,0.22513320501427592,0.824,0.5809381266832352,0.5858849287033081,0.1335542397566742,0.708,0.676,0.604,0.072,0.6528690633416177
Gemini,Dataset_Without_Comments_Description,Description_Reason,0.7338,0.8,0.22945056112374185,0.852,0.5424161103367805,0.5503731667995453,0.13636671279311735,0.616,0.62,0.544,0.076,0.6381080551683902
Gemini,Dataset_Without_Comments_Description,Description_Simple,0.703,0.8,0.2468217980649197,0.784,0.5683080715537071,0.5831850171089172,0.14546459766290054,0.696,0.656,0.568,0.088,0.6356540357768535
Gemini,Variable_Renaming_Description,Description_Fewshot,0.7213999999999999,0.8,0.2529269459745244,0.812,0.5713323369622231,0.5823654234409332,0.14727106298636639,0.696,0.684,0.596,0.088,0.6463661684811115
Gemini,Variable_Renaming_Description,Description_Simple,0.6886,0.75,0.26851450612583294,0.792,0.5420155670046807,0.5542264878749847,0.15549412733438556,0.636,0.644,0.536,0.108,0.6153077835023404
Gemini,Variable_Renaming_Description,Description_Reason,0.7056,0.8,0.26032410568366504,0.812,0.5243969678878784,0.543069988489151,0.155738352377144,0.588,0.632,0.516,0.116,0.6149984839439392
Gemini,Variable_Renaming_Description,Description_Detailed,0.6982,0.8,0.27818475874856985,0.792,0.46945263870060444,0.4756193906068802,0.17672817159361992,0.468,0.524,0.392,0.132,0.5838263193503023
Gemini,Variable_Renaming_Description,Description_Vague,0.7076,0.8,0.27037425912982177,0.816,0.4244337248802185,0.43409061431884766,0.18534097164536936,0.38,0.444,0.32,0.124,0.5660168624401093
LlamaVL,Data_With_Comments_Description,Description_Reason,0.019399999999999997,0.0,0.07492422839108856,0.008,0.25747643707692625,0.23565662652254105,0.16159276926790145,0.092,0.908,0.004,0.904,0.1384382185384631
LlamaVL,Data_With_Comments_Description,Description_Simple,0.0174,0.0,0.07202249648547321,0.008,0.2111364112123847,0.16390226781368256,0.1755645518546302,0.084,0.916,0.004,0.912,0.11426820560619234
LlamaVL,Data_With_Comments_Description,Description_Fewshot,0.014,0.0,0.061676575780437094,0.004,0.17375207975506782,0.15245503187179565,0.12584816146088662,0.008,0.988,0.0,0.988,0.09387603987753391
LlamaVL,Data_Without_Comments_Description,Description_Reason,0.004,0.0,0.038522720568516446,0.004,0.19436217181757093,0.18087530136108398,0.10797591238201544,0.008,0.988,0.0,0.988,0.09918108590878547
LlamaVL,Data_Without_Comments_Description,Description_Fewshot,0.003,0.0,0.035227829907617074,0.004,0.1758568503819406,0.16340168565511703,0.12290643294045273,0.008,0.988,0.0,0.988,0.0894284251909703
LlamaVL,Data_Without_Comments_Description,Description_Simple,0.001,0.0,0.0157797338380595,0.0,0.14658089075796307,0.1336345225572586,0.12366879538576135,0.012,0.988,0.0,0.988,0.07379044537898154
LlamaVL,Dataset_DeadCode_Description,Description_Reason,0.005,0.0,0.04716990566028302,0.008,0.18817811001837254,0.18178875744342804,0.09565599901301852,0.0,0.992,0.0,0.992,0.09658905500918627
LlamaVL,Dataset_DeadCode_Description,Description_Detailed,0.001,0.0,0.0157797338380595,0.0,0.1912056001201272,0.18818120658397675,0.1018514320085367,0.008,0.992,0.0,0.992,0.0961028000600636
LlamaVL,Dataset_DeadCode_Description,Description_Fewshot,0.0,0.0,0.0,0.0,0.17332841497659685,0.15996506810188293,0.12420105883377741,0.008,0.992,0.0,0.992,0.08666420748829842
LlamaVL,Dataset_DeadCode_Description,Description_Vague,0.003,0.0,0.027221315177632398,0.0,0.16881589679419995,0.16296714544296265,0.08424306649276442,0.0,1.0,0.0,1.0,0.08590794839709998
LlamaVL,Dataset_DeadCode_Description,Description_Simple,0.001,0.0,0.0157797338380595,0.0,0.11425543522648514,0.090681292116642,0.1117972708178212,0.004,0.996,0.0,0.996,0.05762771761324257
LlamaVL,Dataset_Encryption_Description,Description_Reason,0.002,0.0,0.031559467676119,0.004,0.18747360346466302,0.174456387758255,0.1004264431292871,0.0,0.996,0.0,0.996,0.09473680173233151
LlamaVL,Dataset_Encryption_Description,Description_Fewshot,0.002,0.0,0.031559467676119,0.004,0.17412370560877025,0.15571659803390503,0.12468878558262904,0.004,1.0,0.004,0.996,0.08806185280438512
LlamaVL,Dataset_Encryption_Description,Description_Vague,0.0,0.0,0.0,0.0,0.17298733499273658,0.1599983423948288,0.08188955613111734,0.0,1.0,0.0,1.0,0.08649366749636829
LlamaVL,Dataset_Encryption_Description,Description_Detailed,0.0,0.0,0.0,0.0,0.12929332069121302,0.12495454400777817,0.0895680814243169,0.0,1.0,0.0,1.0,0.06464666034560651
LlamaVL,Dataset_Encryption_Description,Description_Simple,0.0,0.0,0.0,0.0,0.11178643903508782,0.10377626866102219,0.0997603594358278,0.0,1.0,0.0,1.0,0.05589321951754391
LlamaVL,Dataset_With_Comments_Description,Description_Reason,0.019399999999999997,0.0,0.07492422839108856,0.008,0.25747643707692625,0.23565662652254105,0.16159276926790145,0.092,0.908,0.004,0.904,0.1384382185384631
LlamaVL,Dataset_With_Comments_Description,Description_Simple,0.0174,0.0,0.07202249648547321,0.008,0.2111364112123847,0.16390226781368256,0.1755645518546302,0.084,0.916,0.004,0.912,0.11426820560619234
LlamaVL,Dataset_With_Comments_Description,Description_Fewshot,0.014,0.0,0.061676575780437094,0.004,0.17375207975506782,0.15245503187179565,0.12584816146088662,0.008,0.988,0.0,0.988,0.09387603987753391
LlamaVL,Dataset_Without_Comments_Description,Description_Reason,0.004,0.0,0.038522720568516446,0.004,0.19436217181757093,0.18087530136108398,0.10797591238201544,0.008,0.988,0.0,0.988,0.09918108590878547
LlamaVL,Dataset_Without_Comments_Description,Description_Fewshot,0.003,0.0,0.035227829907617074,0.004,0.1758568503819406,0.16340168565511703,0.12290643294045273,0.008,0.988,0.0,0.988,0.0894284251909703
LlamaVL,Dataset_Without_Comments_Description,Description_Simple,0.001,0.0,0.0157797338380595,0.0,0.14658089075796307,0.1336345225572586,0.12366879538576135,0.012,0.988,0.0,0.988,0.07379044537898154
LlamaVL,Variable_Renaming_Description,Description_Detailed,0.0034,0.0,0.03575527933047091,0.004,0.19759337026625873,0.18828068673610687,0.09405133745178454,0.004,0.992,0.0,0.992,0.10049668513312936
LlamaVL,Variable_Renaming_Description,Description_Reason,0.0,0.0,0.0,0.0,0.17788840244337917,0.1582283228635788,0.09666897671602881,0.008,0.992,0.0,0.992,0.08894420122168958
LlamaVL,Variable_Renaming_Description,Description_Fewshot,0.0,0.0,0.0,0.0,0.176429174519144,0.15669720619916916,0.12432061298004385,0.004,0.996,0.0,0.996,0.088214587259572
LlamaVL,Variable_Renaming_Description,Description_Vague,0.0,0.0,0.0,0.0,0.1695229490250349,0.1589701771736145,0.09643828595837628,0.008,0.992,0.0,0.992,0.08476147451251745
LlamaVL,Variable_Renaming_Description,Description_Simple,0.003,0.0,0.035227829907617074,0.004,0.12577246646210552,0.11166441440582275,0.11619467790849414,0.008,0.988,0.0,0.988,0.06438623323105276
O4-mini,Dataset_DeadCode_Description,Description_Simple,0.6696,0.7,0.31729456345799556,0.7,0.5289728391766548,0.5402350723743439,0.15451594365619653,0.608,0.588,0.448,0.14,0.5992864195883274
O4-mini,Dataset_DeadCode_Description,Description_Reason,0.6666,0.7,0.31488798008180624,0.7,0.5253305366933346,0.5438284277915955,0.1457544478370823,0.576,0.548,0.412,0.136,0.5959652683466673
O4-mini,Dataset_DeadCode_Description,Description_Fewshot,0.6742,0.7,0.30974886601890894,0.732,0.5003249098062515,0.4965807795524597,0.15051621228467377,0.496,0.532,0.38,0.152,0.5872624549031258
O4-mini,Dataset_DeadCode_Description,Description_Detailed,0.6577999999999999,0.7,0.3113666006494595,0.74,0.449585309356451,0.46321606636047363,0.16669744885358095,0.416,0.508,0.332,0.176,0.5536926546782255
O4-mini,Dataset_DeadCode_Description,Description_Vague,0.6764,0.7,0.3124788632851829,0.748,0.29052793378382924,0.2810673117637634,0.1549175187806385,0.104,0.3,0.076,0.224,0.4834639668919146
O4-mini,Dataset_Encryption_Description,Description_Reason,0.574,0.55,0.31289614890567125,0.616,0.47800871580839155,0.4687251150608063,0.15490345042716466,0.456,0.576,0.324,0.252,0.5260043579041958
O4-mini,Dataset_Encryption_Description,Description_Fewshot,0.603,0.6,0.31317886263284117,0.66,0.43406473119556904,0.4170656055212021,0.15845553638211063,0.348,0.504,0.256,0.248,0.5185323655977845
O4-mini,Dataset_Encryption_Description,Description_Simple,0.5694,0.55,0.322945258519149,0.652,0.4675509660542011,0.48060600459575653,0.16514872338331277,0.476,0.568,0.348,0.22,0.5184754830271006
