group,problem_id,success_rate,success_count,total_evaluations,lines_of_code,cyclomatic_complexity_total,cyclomatic_complexity_max,density,shannon_entropy,function_count,max_nesting_depth,has_recursion,task_type
failure,p03043,0.2687,79,294,155,53,13,0.341935,5.092376,17,4,1,other
failure,p02711,0.2687,79,294,75,31,11,0.413333,4.366863,9,4,1,digit
failure,p03371,0.2687,79,294,43,19,19,0.44186,4.599542,1,4,0,min
failure,p02257,0.2653,78,294,55,16,16,0.290909,4.924825,1,5,0,count
failure,p02405,0.2653,78,294,92,28,28,0.304348,4.621755,1,7,0,other
failure,p02836,0.2619,77,294,69,14,14,0.202899,3.795052,1,5,0,min
failure,p03545,0.2619,77,294,29,18,18,0.62069,4.323254,1,4,0,sum
failure,p03378,0.2619,77,294,52,18,18,0.346154,3.992279,1,5,0,other
failure,p00007,0.2585,76,294,82,32,11,0.390244,4.004497,11,5,1,count
failure,p02268,0.2585,76,294,44,23,20,0.522727,4.473163,2,6,1,count
failure,p02694,0.2551,75,294,95,32,11,0.336842,4.629424,10,4,1,count
failure,p02700,0.2517,74,294,25,12,12,0.48,5.142784,1,4,0,other
failure,p02547,0.2517,74,294,249,49,20,0.196787,3.237337,13,7,1,string
failure,p02989,0.2483,73,294,176,55,14,0.3125,4.883943,17,5,1,sort
failure,p02730,0.2483,73,294,55,20,18,0.363636,3.939938,2,6,1,string
failure,p03109,0.2449,72,294,41,16,16,0.390244,3.904322,1,6,0,string
failure,p02729,0.2449,72,294,36,15,15,0.416667,3.301869,1,5,0,count
failure,p02779,0.2449,72,294,164,46,11,0.280488,4.433045,19,5,1,unique
failure,p03076,0.2381,70,294,85,43,43,0.505882,4.676928,1,5,0,other
failure,p03073,0.2381,70,294,58,18,18,0.310345,3.914298,1,6,0,string
failure,p02790,0.2381,70,294,180,55,15,0.305556,3.433816,13,5,1,string
failure,p02759,0.2347,69,294,88,27,11,0.306818,4.057058,9,5,1,min
failure,p02910,0.2313,68,294,172,55,15,0.319767,3.715316,12,5,1,string
failure,p02755,0.2313,68,294,70,16,15,0.228571,3.891863,2,4,1,count
failure,p02677,0.2279,67,294,44,17,17,0.386364,4.921283,1,3,0,other
failure,p02911,0.2279,67,294,178,54,15,0.303371,3.730145,12,5,1,other
failure,p03001,0.2279,67,294,122,42,14,0.344262,5.027437,10,4,1,other
failure,p02256,0.2279,67,294,72,21,21,0.291667,4.768811,1,6,0,math
failure,p02909,0.2245,66,294,113,37,11,0.327434,4.301238,14,4,1,string
failure,p02921,0.2245,66,294,19,13,13,0.684211,4.720814,1,3,0,count
failure,p03324,0.2211,65,294,155,55,15,0.354839,3.746189,16,5,1,count
failure,p03435,0.2211,65,294,69,23,23,0.333333,4.878397,1,8,0,other
failure,p02897,0.2177,64,294,157,48,15,0.305732,3.573128,10,5,1,count
failure,p03071,0.2177,64,294,116,34,11,0.293103,4.196933,11,4,1,sum
failure,p03285,0.2143,63,294,24,17,17,0.708333,4.70125,1,3,0,other
failure,p02675,0.2109,62,294,44,36,36,0.818182,4.383991,1,4,0,digit
failure,p02640,0.2075,61,294,23,11,11,0.478261,4.700081,1,4,0,other
failure,p02971,0.2075,61,294,61,16,16,0.262295,4.187987,1,5,0,max
failure,p03854,0.2041,60,294,39,34,32,0.871795,4.077799,2,3,1,unique
failure,p00011,0.2041,60,294,55,14,14,0.254545,4.970079,1,6,0,other
failure,p02394,0.2041,60,294,41,34,34,0.829268,4.419926,1,4,0,other
failure,p02408,0.2041,60,294,146,67,67,0.458904,4.782193,1,6,0,other
failure,p03998,0.2007,59,294,82,23,23,0.280488,3.157751,1,6,0,string
failure,p04030,0.1973,58,294,150,42,11,0.28,3.938909,8,5,1,string
failure,p02397,0.1939,57,294,28,11,11,0.392857,3.974801,1,5,0,sort
failure,p02657,0.1939,57,294,122,37,11,0.303279,4.457675,12,5,1,other
failure,p02785,0.1905,56,294,195,64,14,0.328205,3.632279,22,5,1,min
failure,p02818,0.1905,56,294,152,52,12,0.342105,4.470636,23,5,1,sum
failure,p02783,0.1905,56,294,111,32,11,0.288288,4.239138,11,4,1,min
failure,p03315,0.1871,55,294,17,17,17,1.0,4.534903,1,2,0,count
failure,p03220,0.1837,54,294,138,39,11,0.282609,5.047702,16,4,1,min
failure,p02407,0.1837,54,294,36,9,9,0.25,4.956675,1,6,0,other
