model,problem_id,s_enc,s_dead,s_lex
Llama70b_Generation,p02389,0.21,0.675,0.433333
Llama70b_Generation,p03041,0.65,0.575,0.516667
Llama70b_Generation,p02613,0.2,0.7125,0.525
Llama70b_Generation,p03243,0.34,0.4875,0.416667
Llama70b_Generation,p02405,0.27,0.725,0.608333
Llama70b_Generation,p02767,0.29,0.65,0.583333
Llama70b_Generation,p02773,0.6,0.575,0.65
Llama70b_Generation,p02571,0.38,0.475,0.3
Llama70b_Generation,p02264,0.69,0.475,0.633333
Llama70b_Generation,p03109,0.25,0.56875,0.533333
Llama70b_Generation,p03146,0.25,0.65,0.541667
Llama70b_Generation,p02983,0.21,0.5125,0.408333
Llama70b_Generation,p02258,0.52,0.6125,0.475
Llama70b_Generation,p03378,0.45,0.4875,0.416667
Llama70b_Generation,p02847,0.29,0.5375,0.616667
Llama70b_Generation,p02700,0.21,0.425,0.4
Llama70b_Generation,p03998,0.26,0.4875,0.425
Llama70b_Generation,p02675,0.15,0.6625,0.591667
Llama70b_Generation,p02729,0.35,0.225,0.55
Llama70b_Generation,p04012,0.25,0.6,0.766667
Llama70b_Generation,p02259,0.24,0.575,0.575
Llama70b_Generation,p02701,0.67,0.7375,0.591667
Llama70b_Generation,p02677,0.6,0.475,0.525
Llama70b_Generation,p03435,0.24,0.5,0.55
Llama70b_Generation,p03147,0.23,0.5875,0.45
Llama70b_Generation,p02688,0.37,0.25,0.458333
Llama70b_Generation,p02886,0.36,0.5375,0.358333
Llama70b_Generation,p02887,0.3,0.45,0.475
Llama70b_Generation,p02879,0.71,0.65,0.541667
Llama70b_Generation,p02717,0.66,0.6375,0.533333
Llama70b_Generation,p02676,0.61,0.575,0.616667
Llama70b_Generation,p03632,0.44,0.2625,0.658333
Llama70b_Generation,p03434,0.52,0.3375,0.391667
Llama70b_Generation,p03352,0.46,0.4125,0.466667
Llama70b_Generation,p02706,0.54,0.6375,0.491667
Llama70b_Generation,p02712,0.18,0.4625,0.366667
Llama70b_Generation,p02921,0.24,0.65,0.65
Llama70b_Generation,p02935,0.62,0.4,0.441667
Llama70b_Generation,p02909,0.36,0.575,0.45
Llama70b_Generation,p03035,0.5,0.5875,0.483333
Llama70b_Generation,p02699,0.24,0.575,0.5
Llama70b_Generation,p03545,0.25,0.725,0.541667
Llama70b_Generation,p02897,0.64,0.675,0.533333
Llama70b_Generation,p02713,0.6,0.45,0.541667
Llama70b_Generation,p02707,0.51,0.4625,0.458333
Llama70b_Generation,p02934,0.68,0.7625,0.583333
Llama70b_Generation,p03814,0.61,0.575,0.575
Llama70b_Generation,p02711,0.56,0.6875,0.541667
Llama70b_Generation,p02263,0.61,0.85,0.683333
Llama70b_Generation,p02705,0.38,0.6625,0.575
Llama70b_Generation,p02922,0.7,0.65,0.516667
Llama70b_Generation,p02659,0.31,0.575,0.408333
Llama70b_Generation,p02881,0.47,0.4125,0.291667
Llama70b_Generation,p02658,0.6,0.5125,0.441667
Llama70b_Generation,p02880,0.19,0.7875,0.708333
Llama70b_Generation,p03037,0.52,0.5125,0.45
Llama70b_Generation,p02260,0.69,0.725,0.666667
Llama70b_Generation,p02923,0.4,0.5,0.533333
Llama70b_Generation,p03220,0.3,0.7,0.458333
